"","iso2c","iso3c","country","date","IC.CRD.LGL.XQ","unit","obs_status","footnote","last_updated"
"459","NE","NER","Niger",2003,NA,NA,NA,NA,2013-02-22
"460","NE","NER","Niger",2004,3,NA,NA,NA,2013-02-22
"461","NE","NER","Niger",2005,3,NA,NA,NA,2013-02-22
"462","NE","NER","Niger",2006,3,NA,NA,NA,2013-02-22
"463","NE","NER","Niger",2007,3,NA,NA,NA,2013-02-22
"464","NE","NER","Niger",2008,3,NA,NA,NA,2013-02-22
"465","NE","NER","Niger",2009,3,NA,NA,NA,2013-02-22
"466","NE","NER","Niger",2010,3,NA,NA,NA,2013-02-22
"467","NE","NER","Niger",2011,6,NA,NA,NA,2013-02-22
"468","NE","NER","Niger",2012,6,NA,NA,NA,2013-02-22
"469","NG","NGA","Nigeria",2000,NA,NA,NA,NA,2013-02-22
"470","NG","NGA","Nigeria",2001,NA,NA,NA,NA,2013-02-22
"471","NG","NGA","Nigeria",2002,NA,NA,NA,NA,2013-02-22
"472","NG","NGA","Nigeria",2003,NA,NA,NA,NA,2013-02-22
"473","NG","NGA","Nigeria",2004,9,NA,NA,NA,2013-02-22
"474","NG","NGA","Nigeria",2005,9,NA,NA,NA,2013-02-22
"475","NG","NGA","Nigeria",2006,9,NA,NA,NA,2013-02-22
"476","NG","NGA","Nigeria",2007,9,NA,NA,NA,2013-02-22
"477","NG","NGA","Nigeria",2008,9,NA,NA,NA,2013-02-22
"478","NG","NGA","Nigeria",2009,9,NA,NA,NA,2013-02-22
"479","NG","NGA","Nigeria",2010,9,NA,NA,NA,2013-02-22
"480","NG","NGA","Nigeria",2011,9,NA,NA,NA,2013-02-22
"481","NG","NGA","Nigeria",2012,9,NA,NA,NA,2013-02-22
"482","RW","RWA","Rwanda",2000,NA,NA,NA,NA,2013-02-22
"483","RW","RWA","Rwanda",2001,NA,NA,NA,NA,2013-02-22
"484","RW","RWA","Rwanda",2002,NA,NA,NA,NA,2013-02-22
"485","RW","RWA","Rwanda",2003,NA,NA,NA,NA,2013-02-22
"486","RW","RWA","Rwanda",2004,2,NA,NA,NA,2013-02-22
"487","RW","RWA","Rwanda",2005,2,NA,NA,NA,2013-02-22
"488","RW","RWA","Rwanda",2006,2,NA,NA,NA,2013-02-22
"489","RW","RWA","Rwanda",2007,2,NA,NA,NA,2013-02-22
"490","RW","RWA","Rwanda",2008,2,NA,NA,NA,2013-02-22
"491","RW","RWA","Rwanda",2009,7,NA,NA,NA,2013-02-22
"492","RW","RWA","Rwanda",2010,7,NA,NA,NA,2013-02-22
"493","RW","RWA","Rwanda",2011,7,NA,NA,NA,2013-02-22
"494","RW","RWA","Rwanda",2012,7,NA,NA,NA,2013-02-22
"495","SD","SDN","Sudan",2000,NA,NA,NA,NA,2013-02-22
"496","SD","SDN","Sudan",2001,NA,NA,NA,NA,2013-02-22
"497","SD","SDN","Sudan",2002,NA,NA,NA,NA,2013-02-22
"498","SD","SDN","Sudan",2003,NA,NA,NA,NA,2013-02-22
"499","SD","SDN","Sudan",2004,4,NA,NA,NA,2013-02-22
"500","SD","SDN","Sudan",2005,4,NA,NA,NA,2013-02-22
"501","SD","SDN","Sudan",2006,4,NA,NA,NA,2013-02-22
"502","SD","SDN","Sudan",2007,4,NA,NA,NA,2013-02-22
"503","SD","SDN","Sudan",2008,4,NA,NA,NA,2013-02-22
"504","SD","SDN","Sudan",2009,4,NA,NA,NA,2013-02-22
"505","SD","SDN","Sudan",2010,4,NA,NA,NA,2013-02-22
"506","SD","SDN","Sudan",2011,4,NA,NA,NA,2013-02-22
"507","SD","SDN","Sudan",2012,4,NA,NA,NA,2013-02-22
"508","SN","SEN","Senegal",2000,NA,NA,NA,NA,2013-02-22
"509","SN","SEN","Senegal",2001,NA,NA,NA,NA,2013-02-22
"510","SN","SEN","Senegal",2002,NA,NA,NA,NA,2013-02-22
"511","SN","SEN","Senegal",2003,NA,NA,NA,NA,2013-02-22
"512","SN","SEN","Senegal",2004,3,NA,NA,NA,2013-02-22
"513","SN","SEN","Senegal",2005,3,NA,NA,NA,2013-02-22
"514","SN","SEN","Senegal",2006,3,NA,NA,NA,2013-02-22
"515","SN","SEN","Senegal",2007,3,NA,NA,NA,2013-02-22
"516","SN","SEN","Senegal",2008,3,NA,NA,NA,2013-02-22
"517","SN","SEN","Senegal",2009,3,NA,NA,NA,2013-02-22
"518","SN","SEN","Senegal",2010,3,NA,NA,NA,2013-02-22
"519","SN","SEN","Senegal",2011,6,NA,NA,NA,2013-02-22
"520","SN","SEN","Senegal",2012,6,NA,NA,NA,2013-02-22
"521","SL","SLE","Sierra Leone",2000,NA,NA,NA,NA,2013-02-22
"522","SL","SLE","Sierra Leone",2001,NA,NA,NA,NA,2013-02-22
"523","SL","SLE","Sierra Leone",2002,NA,NA,NA,NA,2013-02-22
"524","SL","SLE","Sierra Leone",2003,NA,NA,NA,NA,2013-02-22
"525","SL","SLE","Sierra Leone",2004,5,NA,NA,NA,2013-02-22
"526","SL","SLE","Sierra Leone",2005,5,NA,NA,NA,2013-02-22
"527","SL","SLE","Sierra Leone",2006,5,NA,NA,NA,2013-02-22
"528","SL","SLE","Sierra Leone",2007,5,NA,NA,NA,2013-02-22
"529","SL","SLE","Sierra Leone",2008,5,NA,NA,NA,2013-02-22
"530","SL","SLE","Sierra Leone",2009,7,NA,NA,NA,2013-02-22
"531","SL","SLE","Sierra Leone",2010,7,NA,NA,NA,2013-02-22
"532","SL","SLE","Sierra Leone",2011,7,NA,NA,NA,2013-02-22
"533","SL","SLE","Sierra Leone",2012,7,NA,NA,NA,2013-02-22
"534","SO","SOM","Somalia",2000,NA,NA,NA,NA,2013-02-22
"535","SO","SOM","Somalia",2001,NA,NA,NA,NA,2013-02-22
"536","SO","SOM","Somalia",2002,NA,NA,NA,NA,2013-02-22
"537","SO","SOM","Somalia",2003,NA,NA,NA,NA,2013-02-22
"538","SO","SOM","Somalia",2004,NA,NA,NA,NA,2013-02-22
"539","SO","SOM","Somalia",2005,NA,NA,NA,NA,2013-02-22
"540","SO","SOM","Somalia",2006,NA,NA,NA,NA,2013-02-22
"541","SO","SOM","Somalia",2007,NA,NA,NA,NA,2013-02-22
"542","SO","SOM","Somalia",2008,NA,NA,NA,NA,2013-02-22
"543","SO","SOM","Somalia",2009,NA,NA,NA,NA,2013-02-22
"544","SO","SOM","Somalia",2010,NA,NA,NA,NA,2013-02-22
"545","SO","SOM","Somalia",2011,NA,NA,NA,NA,2013-02-22
"546","SO","SOM","Somalia",2012,NA,NA,NA,NA,2013-02-22
"547","SS","SSD","South Sudan",2000,NA,NA,NA,NA,2013-02-22
"548","SS","SSD","South Sudan",2001,NA,NA,NA,NA,2013-02-22
"549","SS","SSD","South Sudan",2002,NA,NA,NA,NA,2013-02-22
"550","SS","SSD","South Sudan",2003,NA,NA,NA,NA,2013-02-22
